date,close,volume
2026-06-22,88.51,483277.37
2026-06-23,88.57,1341192.94
2026-06-24,84.58,1103301.19
2026-06-25,85.43,1892811.74
2026-06-26,85.21,827498.25
2026-06-29,86.46,609268.06
2026-06-30,87.36,194547.62
2026-07-01,87.74,268669.92
2026-07-02,84.54,411559.34
2026-07-03,84.07,435939.62
2026-07-06,82.75,313133.92
2026-07-07,82.41,789694.13
2026-07-08,84.73,241585.97
2026-07-09,83.19,667428.51
2026-07-10,85.22,183474.97
2026-07-13,84.0,305352.25
2026-07-14,83.73,692551.52
2026-07-15,82.15,71387.8
2026-07-16,79.06,4818098.99
2026-07-17,77.15,242724.56
2026-07-20,80.18,38044437.93
2026-07-21,83.1,36833168.02
2026-07-22,83.76,338574.77
2026-07-23,83.97,260357.68
2026-07-24,85.27,7705895.61
2026-07-27,88.57,9811480.67
2026-07-28,88.98,939080.92
2026-07-29,90.0,175238.98
2026-07-30,89.79,1509754.63
2026-07-31,90.6,202922.05
2026-08-03,92.48,449712.0
2026-08-04,93.08,548552.43
2026-08-05,94.53,295651.32
2026-08-06,94.33,246931.06
2026-08-07,93.76,141147.97
2026-08-10,94.48,335491.43
2026-08-11,94.99,802789.75
2026-08-12,94.52,591905.8
2026-08-13,90.6,2606969.06
2026-08-14,87.97,1663438.38
2026-08-17,86.85,290382.12
2026-08-18,88.81,2813566.51
2026-08-19,90.07,241153.18
2026-08-20,88.6,207118.4
2026-08-21,88.96,295307.82
2026-08-24,85.83,595110.62
2026-08-25,86.99,2083652.18
2026-08-26,85.72,855000.31
2026-08-27,86.18,320490.21
2026-08-28,86.4,515895.71
2026-08-31,87.63,333735.06
2026-09-01,88.69,86128.08
2026-09-02,88.06,463606.79
2026-09-03,89.12,14759580.5
