date,close,volume
2026-06-22,2.72,103726.29
2026-06-23,2.735,107488.35
2026-06-24,2.66,61704.15
2026-06-25,2.665,34157.77
2026-06-26,2.685,11985406.58
2026-06-29,2.74,3247689.0
2026-06-30,2.74,50089.11
2026-07-01,2.735,3014368.85
2026-07-02,2.66,80840.57
2026-07-03,2.65,3276958.68
2026-07-06,2.605,1180682.73
2026-07-07,2.61,972242.64
2026-07-08,2.63,774664.92
2026-07-09,2.61,29403.44
2026-07-10,2.575,80011.83
2026-07-13,2.595,780586.49
2026-07-14,2.595,44819.97
2026-07-15,2.55,52418.65
2026-07-16,2.48,1029691.9
2026-07-17,2.43,336019.25
2026-07-20,2.49,545873.06
2026-07-21,2.57,171383.9
2026-07-22,2.62,23324.98
2026-07-23,2.625,149348.64
2026-07-24,2.635,1471819.63
2026-07-27,2.685,4568982.54
2026-07-28,2.67,5407445.7
2026-07-29,2.695,5585896.7
2026-07-30,2.685,24441037.52
2026-07-31,2.685,1407850.81
2026-08-03,2.715,26373227.34
2026-08-04,2.71,5010803.79
2026-08-05,2.745,173164.29
2026-08-06,2.745,5056553.24
2026-08-07,2.74,3098204.25
2026-08-10,2.75,194540.35
2026-08-11,2.775,1144512.72
2026-08-12,2.765,1457389.79
2026-08-13,2.705,57627.75
2026-08-14,2.62,33564.83
2026-08-17,2.58,50400.32
2026-08-18,2.6,107451.07
2026-08-19,2.645,4481947.95
2026-08-20,2.61,22999.67
2026-08-21,2.62,103484.65
2026-08-24,2.565,213962.31
2026-08-25,2.605,97175.95
2026-08-26,2.55,399070.08
2026-08-27,2.575,61045.04
2026-08-28,2.57,46011.02
2026-08-31,2.645,121375.46
2026-09-01,2.65,45762.6
2026-09-02,2.64,47417.75
