date,close,volume
2026-06-22,8.28,22515232.26
2026-06-23,8.3,6622906.19
2026-06-24,8.28,6875817.79
2026-06-25,8.23,4173137.87
2026-06-26,8.2,16937108.2
2026-06-29,8.21,2460298.28
2026-06-30,8.24,733201.46
2026-07-01,8.23,7443407.06
2026-07-02,8.2,3054580.55
2026-07-03,8.18,7086950.54
2026-07-06,8.14,5514042.94
2026-07-07,8.16,15867615.43
2026-07-08,8.18,4096134.65
2026-07-09,8.2,519590.54
2026-07-10,8.18,1024423.82
2026-07-13,8.21,864206.11
2026-07-14,8.19,3783030.48
2026-07-15,8.14,1841568.34
2026-07-16,8.11,3875675.95
2026-07-17,8.11,2163416.54
2026-07-20,8.12,6911257.06
2026-07-21,8.17,2239759.55
2026-07-22,8.2,840684.84
2026-07-23,8.23,1311260.54
2026-07-24,8.29,1935971.78
2026-07-27,8.34,1670507.32
2026-07-28,8.36,6829158.86
2026-07-29,8.34,543338.15
2026-07-30,8.36,3616477.85
2026-07-31,8.37,907767.63
2026-08-03,8.38,4146713.78
2026-08-04,8.39,2057133.36
2026-08-05,8.39,755842.02
2026-08-06,8.42,748781.19
2026-08-07,8.39,945732.89
2026-08-10,8.42,2341462.6
2026-08-11,8.42,393656.02
2026-08-12,8.45,1679385.43
2026-08-13,8.44,705855.14
2026-08-14,8.41,5982780.42
2026-08-17,8.39,1740674.49
2026-08-18,8.38,27740215.26
2026-08-19,8.39,1437654.28
