date,close,volume
2026-06-22,12.17,9888841.85
2026-06-23,12.0,2544359.8
2026-06-24,11.73,13338460.82
2026-06-25,11.96,4612109.19
2026-06-26,12.51,7073842.12
2026-06-29,12.14,6095015.78
2026-06-30,12.45,4422845.41
2026-07-01,12.43,3575632.04
2026-07-02,12.52,1555360.01
2026-07-03,12.71,7175123.09
2026-07-06,12.38,6878015.48
2026-07-07,12.44,3412234.79
2026-07-08,12.11,4235071.93
2026-07-09,12.38,1136021.56
2026-07-10,12.39,27551495.48
2026-07-13,12.13,1683608.81
2026-07-14,12.44,2769090.2
2026-07-15,12.34,1798206.72
2026-07-16,12.33,749730.57
2026-07-17,12.39,2312576.9
2026-07-20,12.45,3370125.17
2026-07-21,12.55,3595605.76
2026-07-22,12.7,7212238.9
2026-07-23,12.48,3958579.41
2026-07-24,12.39,1803897.46
2026-07-27,12.43,3015210.39
2026-07-28,12.45,2472180.24
2026-07-29,12.54,5504369.32
2026-07-30,12.78,3136845.02
2026-07-31,12.57,1750660.86
2026-08-03,12.75,7572337.9
2026-08-04,12.95,12458951.1
2026-08-05,13.46,49847494.35
2026-08-06,13.55,10355337.19
2026-08-07,13.98,27499565.66
2026-08-10,14.01,24856314.99
2026-08-11,14.12,54909340.67
2026-08-12,14.31,32951210.11
2026-08-13,14.31,26436061.01
2026-08-14,14.44,24792518.57
2026-08-17,14.73,29417308.48
2026-08-18,14.52,24419640.23
2026-08-19,14.65,15489222.3
2026-08-20,14.62,5238799.55
2026-08-21,14.93,17251521.93
2026-08-24,15.22,10748758.49
2026-08-25,15.2,43050225.05
2026-08-26,15.15,5370475.43
2026-08-27,15.37,18213162.71
