date,close,volume
2026-06-22,9.52,2050640.71
2026-06-23,9.49,1132898.54
2026-06-24,9.36,854288.98
2026-06-25,9.37,1673859.41
2026-06-26,9.48,632603.13
2026-06-29,9.47,321331.41
2026-06-30,9.57,491245.36
2026-07-01,9.51,670570.56
2026-07-02,9.47,180992.32
2026-07-03,9.52,94391.54
2026-07-06,9.39,2127073.42
2026-07-07,9.32,1506475.76
2026-07-08,9.3,501852.18
2026-07-09,9.4,606426.24
2026-07-10,9.37,353477.24
2026-07-13,9.36,120806.28
2026-07-14,9.41,453997.98
2026-07-15,9.31,359140.36
2026-07-16,9.19,587930.89
2026-07-17,9.13,955233.89
2026-07-20,9.23,1666351.4
2026-07-21,9.38,640572.36
2026-07-22,9.47,131729.91
2026-07-23,9.48,583636.11
2026-07-24,9.48,310877.85
2026-07-27,9.56,241439.63
2026-07-28,9.54,267291.75
2026-07-29,9.62,424901.34
2026-07-30,9.64,265007.78
2026-07-31,9.63,1254549.93
2026-08-03,9.59,463014.79
2026-08-04,9.74,320312.05
2026-08-05,9.89,691018.17
2026-08-06,9.89,519305.92
2026-08-07,9.94,514541.17
2026-08-10,10.0,619318.71
2026-08-11,10.06,557965.14
2026-08-12,10.03,713602.1
2026-08-13,9.95,1617516.05
2026-08-14,9.89,1357330.32
2026-08-17,9.86,49883408.83
2026-08-18,9.88,1409272.75
2026-08-19,9.94,161097.37
2026-08-20,9.89,369740.12
2026-08-21,9.97,281396.64
2026-08-24,9.91,589252.88
2026-08-25,10.03,408268.55
2026-08-26,9.95,427491.04
2026-08-27,10.01,440688.96
2026-08-28,10.03,163851.43
2026-08-31,10.02,532564.66
2026-09-01,10.03,339383.57
2026-09-02,10.02,463977.45
2026-09-03,10.09,111454.2
2026-09-04,10.1,383009.63
2026-09-07,10.14,204195.48
2026-09-08,10.09,1022219.14
2026-09-09,10.01,122160.27
2026-09-10,9.91,277416.54
2026-09-11,10.02,100849.32
2026-09-14,10.09,522678.29
2026-09-15,10.05,298769.3
2026-09-16,10.01,1186055.53
2026-09-17,10.0,367871.56
2026-09-18,10.03,356825.96
2026-09-21,9.98,374565.49
2026-09-22,10.06,1032168.92
2026-09-23,10.03,373785.98
2026-09-24,10.0,1346412.69
