date,index,value,change_pct
2026-08-11,RGBI,115.29,0.0
2026-08-11,RGBITR,777.32,0.0
2026-08-11,IMOEX,2316.81,0.0
2026-08-17,RGBI,113.69,-0.46
2026-08-17,RGBITR,768.34,-0.45
2026-08-17,IMOEX,2104.84,0.07
2026-08-17,RGBI,113.26,-0.84
2026-08-17,RGBITR,765.55,-0.81
2026-08-17,IMOEX,2093.22,-0.48
2026-08-18,RGBI,113.67,0.24
2026-08-18,RGBITR,768.45,0.23
2026-08-18,IMOEX,2148.13,1.55
2026-08-19,RGBI,113.42,-0.36
2026-08-19,RGBITR,767.12,-0.35
2026-08-19,IMOEX,2154.2,-0.42
2026-08-19,RGBI,113.4,-0.38
2026-08-19,RGBITR,766.98,-0.37
2026-08-19,IMOEX,2147.39,-0.73
2026-08-19,RGBI,113.4,-0.38
2026-08-19,RGBITR,766.96,-0.37
2026-08-19,IMOEX,2146.68,-0.77
2026-08-19,RGBI,113.39,-0.39
2026-08-19,RGBITR,766.91,-0.38
2026-08-19,IMOEX,2143.87,-0.89
